project_name,address,city,zip,units,sources,owner_operator,contact_email,multi_program_overlap
P.T. BARNUM APTS.,136 Saint Stephens Rd,Bridgeport,06605,20,Public_Housing,Housing Authority of the City of Bridgeport,,No
P.T. BARNUM APTS.,467 Bird St,Bridgeport,06605,20,Public_Housing,Housing Authority of the City of Bridgeport,,No
P.T. BARNUM APTS.,217 Anthony St,Bridgeport,06605,20,Public_Housing,Housing Authority of the City of Bridgeport,,No
P.T. BARNUM APTS.,451 Bird St,Bridgeport,06605,20,Public_Housing,Housing Authority of the City of Bridgeport,,No
BERKELEY HEIGHTS,70 Harris Cir,Waterbury,06704,20,Public_Housing,Waterbury Housing Authority,,No
P.T. BARNUM APTS.,205 Anthony St,Bridgeport,06605,20,Public_Housing,Housing Authority of the City of Bridgeport,,No
BERKELEY HEIGHTS,127 Harris Cir,Waterbury,06704,20,Public_Housing,Waterbury Housing Authority,,No
P.T. BARNUM APTS.,213 Anthony St,Bridgeport,06605,20,Public_Housing,Housing Authority of the City of Bridgeport,,No
BERKELEY HEIGHTS,46 Harris Cir,Waterbury,06704,20,Public_Housing,Waterbury Housing Authority,,No
P.T. BARNUM APTS.,152 Saint Stephens Rd,Bridgeport,06605,20,Public_Housing,Housing Authority of the City of Bridgeport,,No
Pembroke Commons,1055 Pembroke St,Bridgeport,06608,19,Section8_Multifamily,"NNI Pembroke, LLC",jfloyd@newneighborhoods.org,No
Elderly and Bond Street,110 Bond St,New Britain,06053,19,Public_Housing,Housing Authority of the CIty of New Britain,,No
P.T. BARNUM APTS.,225 Anthony St,Bridgeport,06605,19,Public_Housing,Housing Authority of the City of Bridgeport,,No
PUTNAM PARK ASSOC,753 PARK ST,HARTFORD,06106,18,LIHTC,,,No
PUTNAM SQUARE,1428 MAIN ST,BRIDGEPORT,06604,18,LIHTC,,,No
TRINITY GATE APTS,1668 BROAD ST,HARTFORD,06106,18,LIHTC,,,No
UNION SCHOOL SENIOR APTS,564 THOMPSON AVE,EAST HAVEN,06512,18,LIHTC,,,No
ELMCREST TERRACE SUPPORTIVE HOUSING,4 ELMCREST TERRACE,NORWALK,06850,18,LIHTC,,,No
ARMSTRONG COURT PHASE 1,31-36 ARMSTRONG COURT,GREENWICH,06833,18,LIHTC,,,No
BURLINGTON GP HOME,8 Carriage Dr,BURLINGTON,06013,18,Section8_Multifamily,BURLINGTON GROUP HOMES INC.,james.jones@oakhillct.org,No
FIELDSTONE COURT AKA PARKWOOD APTS.,Fieldstream Drive and Greystone Road,WATERBURY,06720,18,Section8_Multifamily,Fieldstone Court of Waterbury LLC,Astueck@rei-pm.net,No
University Row Cooperative,127-141  HENRY ST,NEW HAVEN,06511,18,Section8_Multifamily,"UNIVERSITYROW HOMES, INC., c/o PRES Mike Maynard",michael.maynard@snet.net,No
Wolcott Place I & II,42  Wolcott St,Hartford,06106,18,Section8_Multifamily,WOLCOTT PLACE ASSOCIATES LLC,cvalinho@pbihartford.com,No
Bernhardt Meadow,19 Bernhardt Meadow Ln,Roxbury,06783,18,Section8_Multifamily,"Roxbury Senior Housing, Inc.",mtemple8861@sbcglobal.net,No
"Zezzo, Rev. Joseph, House",184-186 Homestead Ave,Hartford,06112,18,Section8_Multifamily,Zezzo House Corporation,smanns@betterquality.org,No
Saint Lukes Senior Housing,120 Goffe Street,New Haven,06511,18,Section8_Multifamily,St. Luke's Senior Housing Inc.,jeffandrus@aol.com,No
MEADOW GARDENS,49 Meadow St,Norwalk,06854,18,Public_Housing,Housing Authority Of The City Of Norwalk,,No
WILBUR PECK COURT,3A Wilbur Peck Ct,Greenwich,06830,18,Public_Housing,Greenwich Housing Authority,,No
BOSTON COMMONS,408 Poplar St,Bridgeport,06605,18,Public_Housing,Housing Authority of the City of Bridgeport,,No
PERCIVAL C. SMITH TOWERS,75 Vine St,Hartford,06112,18,Public_Housing,Housing Authority of the City of Hartford,,No
WILBUR PECK COURT,1A Wilbur Peck Ct,Greenwich,06830,18,Public_Housing,Greenwich Housing Authority,,No
RIVERSIDE APARTMENTS,75 Central St Apt 15,Ansonia,06401,18,Public_Housing,Housing Authority of the City of Ansonia,,No
KIRKHAM MUTUAL HOUSING,235 GRAND AVE,BRANFORD,,17,LIHTC,,,No
LOCUST STREET,128 LOCUST ST,WATERBURY,06704,17,LIHTC,,,No
ROSE HEIGHTS,371 E MAIN ST,BRIDGEPORT,06608,17,LIHTC,,,No
ROSENTHAL GARDENS,63 KIRKHAM ST,BRANFORD,06405,17,LIHTC,,,No
Crescent Crossings Phase I,160 Church St,Bridgeport,06608,17,Section8_Multifamily,"Crescent Crossings 1C, LLC",,No
Val Macri,109 Frank St,New Haven,06519,17,Public_Housing,Housing Authority of the City of New Haven,,No
WILBUR PECK COURT,2A Wilbur Peck Ct,Greenwich,06830,17,Public_Housing,Greenwich Housing Authority,,No
2450 MAIN ST,2450 MAIN ST,BRIDGEPORT,06606,16,LIHTC,,,No
TAYLOR STREET,25 TAYLOR ST,STAMFORD,06902,16,LIHTC;Public_Housing,Housing Authority of the City of Stamford,,Yes
MURRAY ON MAIN,699 MAIN STREET,WINDHAM,06226,16,LIHTC,,,No
HIGHWOOD GARDENS,324 GOODRICH ST,HAMDEN,06517,16,Section8_Multifamily,Highwood Gardens Apartments LLC,wmharp@abacusproperty.net,No
SENIOR COURT,9 Union Ave,Norwalk,06851,16,Public_Housing,Housing Authority Of The City Of Norwalk,,No
RAYMOND E. BALDWIN,701 Birch Dr,Stratford,06615,16,Public_Housing,Housing Authority of the Town of Stratford,,No
RAYMOND E. BALDWIN,201 Birch Dr,Stratford,06615,16,Public_Housing,Housing Authority of the Town of Stratford,,No
FARNUM COURTS,201 Franklin St,New Haven,06511,16,Public_Housing,Housing Authority of the City of New Haven,,No
HOCKANUM PARK,43 Elms Village Dr,East Hartford,06118,16,Public_Housing,East Hartford Housing Authority,,No
RIVERSIDE APARTMENTS,75 Central St Apt 1,Ansonia,06401,16,Public_Housing,Housing Authority of the City of Ansonia,,No
SBONA TOWERS,1325 Randolph Rd,Middletown,06457,16,Public_Housing,Middletown Housing Authority,,No
CHESTNUT HILL / OAK GROVE TERRACE APTS,50 Chestnut St,Windsor Locks,06096,16,Public_Housing,Windsor Locks Housing Authority,,No
FARNUM COURTS,204 Hamilton St,New Haven,06511,16,Public_Housing,Housing Authority of the City of New Haven,,No
MORRISSEY MANOR,17A Bayshore Dr,West Haven,06516,16,Public_Housing,West Haven Housing Authority,,No
RAYMOND E. BALDWIN,301 Birch Dr,Stratford,06615,16,Public_Housing,Housing Authority of the Town of Stratford,,No
RAYMOND E. BALDWIN,320 Everett St,Stratford,06615,16,Public_Housing,Housing Authority of the Town of Stratford,,No
FARNUM COURTS,211 Franklin St,New Haven,06511,16,Public_Housing,Housing Authority of the City of New Haven,,No
CHATHAM COURT,1 Chatham Ct,Portland,06480,16,Public_Housing,Portland Housing Authority,,No
RIVERSIDE APARTMENTS,72 Olson Dr,Ansonia,06401,16,Public_Housing,Housing Authority of the City of Ansonia,,No
RAYMOND E. BALDWIN,601 Birch Dr,Stratford,06615,16,Public_Housing,Housing Authority of the Town of Stratford,,No
HOCKANUM PARK,23 Elms Village Dr,East Hartford,06118,16,Public_Housing,East Hartford Housing Authority,,No
RAYMOND E. BALDWIN,72 Watkins St,Stratford,06615,16,Public_Housing,Housing Authority of the Town of Stratford,,No
HOCKANUM PARK,35 Elms Village Dr,East Hartford,06118,16,Public_Housing,East Hartford Housing Authority,,No
HOCKANUM PARK,11 Elms Village Dr,East Hartford,06118,16,Public_Housing,East Hartford Housing Authority,,No
PERCIVAL C. SMITH TOWERS,79 Vine St,Hartford,06112,16,Public_Housing,Housing Authority of the City of Hartford,,No
RAYMOND E. BALDWIN,80 Griffen St,Stratford,06615,16,Public_Housing,Housing Authority of the Town of Stratford,,No
RAYMOND E. BALDWIN,50 Griffen St,Stratford,06615,16,Public_Housing,Housing Authority of the Town of Stratford,,No
887-901 PARK STREET LTD,887 PARK ST,HARTFORD,06106,15,LIHTC,,,No
PARK STREET APTS,867 PARK ST,HARTFORD,06106,15,LIHTC,,,No
BISHOP PLACE APTS,20 BISHOP AVE,BRIDGEPORT,06607,15,LIHTC,,,No
STILLWATER HEIGHTS,53 STILLWATER AVE,STAMFORD,06902,15,LIHTC,,,No
Bishop Curtis/Augustana Homes - Fairfield,1677 Post Rd,Fairfield,06824,15,Section8_Multifamily,AH Fairfield Acquisition LLC,mfinkle@related.com,No
ABILITY BEYOND DISABILITY,20 Farview AVE,DANBURY,06810,15,Section8_Multifamily,ABILITY BEYOND DISABILITY,Jane.Davis@abilitybeyond.org,No
WILBUR PECK COURT,2C Wilbur Peck Ct,Greenwich,06830,15,Public_Housing,Greenwich Housing Authority,,No
HOCKANUM PARK,72 Cannon Rd,East Hartford,06108,15,Public_Housing,East Hartford Housing Authority,,No
CHESTNUT HILL / OAK GROVE TERRACE APTS,11 Grove St,Windsor Locks,06096,15,Public_Housing,Windsor Locks Housing Authority,,No
99-115 WILLIAM STREET,99 WILLIAM ST,BRIDGEPORT,06608,14,LIHTC,,,No
NELSON STREET APTS,53 NELSON ST,HARTFORD,06120,14,LIHTC,,,No
"KENNEDY CENTER, THE",755 Palisade Avenue,BRIDGEPORT,06610,14,Section8_Multifamily,"Kenn Homes, Inc.",sgordon@kennedyctr.org,No
PLAZA TERRACE APARTMENTS,17 - 19 MARTIN ST,HARTFORD,06120,14,Section8_Multifamily,Plaza Terrace Mutual Housing Association,cmackinnon@mutualhousing.org,No
North Square Gateway Terrace,15 Bishop St,Waterbury,06704,14,Section8_Multifamily,"North Square Gateway Terrace, Inc.",wrybczyk@newoppinc.org,No
Fellowship Place,992-1000 Whalley Ave.,New Haven,06515,14,Section8_Multifamily,"Fellowship Commons Whalley, Inc.",mguerrera@fellowshipplace.org,No
MOUNT PLEASANT,36 Armistice St,New Britain,06053,14,Public_Housing,Housing Authority of the CIty of New Britain,,No
MORRISSEY MANOR,1B Bayshore Dr,West Haven,06516,14,Public_Housing,West Haven Housing Authority,,No
MARINA VILLAGE,200 South Ave,Bridgeport,06604,14,Public_Housing,Housing Authority of the City of Bridgeport,,No
MARINA VILLAGE,362 Iranistan Ave,Bridgeport,06604,14,Public_Housing,Housing Authority of the City of Bridgeport,,No
MARINA VILLAGE,201 South Ave,Bridgeport,06604,14,Public_Housing,Housing Authority of the City of Bridgeport,,No
BOSTON COMMONS,557 Atlantic St,Bridgeport,06604,14,Public_Housing,Housing Authority of the City of Bridgeport,,No
MARINA VILLAGE,334 Iranistan Ave,Bridgeport,06604,14,Public_Housing,Housing Authority of the City of Bridgeport,,No
HOCKANUM PARK,64 Cannon Rd,East Hartford,06108,14,Public_Housing,East Hartford Housing Authority,,No
WETHERSFIELD AVE APTS,277 WETHERSFIELD AVE,HARTFORD,06114,13,LIHTC,,,No
HUBBARD WOODS MHLP,43 APPLE TREE LN,GUILFORD,06437,13,LIHTC,,,No
HOWARD APTS,672 -674 HOWARD AVE,NEW HAVEN,06519,13,Section8_Multifamily,HOW WH LLC,wmharp@abacusproperty.net,No
INDIAN RIDGE 1/GRISWOLD FAMILY HOUSING,404 EAST MAIN ST,JEWETT CITY,06351,13,Section8_Multifamily,Renee Goldstein,bruceg@paradiseagency.com,No
FIRESIDE APTS. EXT 2,655 Palisade Ave,Bridgeport,06610,13,Public_Housing,Housing Authority of the City of Bridgeport,,No
EDEN DRIVE,148 Eden Dr,Danbury,06810,13,Public_Housing,Housing Authority of the City of Danbury,,No
MARINA VILLAGE,300 South Ave,Bridgeport,06604,13,Public_Housing,Housing Authority of the City of Bridgeport,,No
MARINA VILLAGE,127 Ridge Ave,Bridgeport,06604,13,Public_Housing,Housing Authority of the City of Bridgeport,,No
80 LENOX ST,80 LENOX ST,HARTFORD,06112,12,LIHTC,,,No
STEARNS STREET,57 STEARNS ST,BRISTOL,06010,12,LIHTC,,,No
WETHERSFIELD COMMONS,32 WETHERSFIELD AVE,HARTFORD,06114,12,LIHTC;Section8_Multifamily,32-36 South LP,dunbarj@crtct.org,Yes
BARKHAMSTED-GRANBY GP. HOME,1 HICKORY HILL WAY,WEST GRANBY,06090,12,Section8_Multifamily,"Barkhamsted-Granby Group Homes, Inc.",james.jones@oakhillct.org,No
LASHER COURT,333 MAPLE ST,WETHERSFIELD,06109,12,Section8_Multifamily,Cerebral-Palsy Housing Inc,eg.spielberg@gmail.com,No
GLASTONBURY GP HOMES,2716 HEBRON AVE,GLASTONBURY,06033,12,Section8_Multifamily,GLASTONBURY GROUP HOMES INC,james.jones@oakhillct.org,No
GRANBY GROUP HOMES,25 North Church Road,GRANBY,06035,12,Section8_Multifamily,"Granby Group Homes, Inc.",james.jones@oakhillct.org,No
HARTLAND GROUP HOMES,47 OLD TOWN RD,EAST HARTLAND,06027,12,Section8_Multifamily,"HARTLAND GROUP HOMES, INC.",Christine.Leiby@oakhillct.org,No
LEBANON GROUP HOMES,158 Bascom RD,LEBANON,06249,12,Section8_Multifamily,LEBANON-CANTERBURY GROUP HOMES INC.,christine.leiby@oakhillct.org,No
NEW ALGIERS,2 Rose Park Avenue,STAMFORD,06902,12,Section8_Multifamily,"MAIN STREET INVESTMENTS, LLC",prakash@sraam.com,No
"Hart Residences, Inc.",640 MIDDLETOWN AVE,NEW HAVEN,06513,12,Section8_Multifamily,"Hart Residences, Inc.",juliez@hartinc.org,No
Number One Norton Apts,1 Norton St,New Haven,06511,12,Section8_Multifamily,Norton Street Apartments LLC,wmharp@abacusproperty.net,No
PATHWAYS FUTURES,50 BROOKSIDE DR.,GREENWICH,06830,12,Section8_Multifamily,PATHWAYS  INC,ptesei@pways.org,No
S.A.R.A.H.,197 Alps Rd,BRANFORD,06405,12,Section8_Multifamily,SARAH TUXIS RESIDENTIAL SERVICES,andrew.lucibello@snet.net,No
VERNON GP HOMES,100 VALLEY FALLS RD,VERNON,06066,12,Section8_Multifamily,VERNON GP HOMES INC.,johnsonp@ciboakhill.org,No
LIBERTY HOUSING,40 LIBERTY ST,STAMFORD,06902,12,Section8_Multifamily,LIBERTY HOUSING CO,kmarchand@hallkeen.com,No
Spruce Bank III Apts,825 Main St S,Woodbury,06798,12,Section8_Multifamily,"Woodbury Senior Housing, Inc.",debfuller64@outlook.com,No
Walter S. Brooks at Ormont Court,810 Orchard Ave.,NEW HAVEN,06511,12,Section8_Multifamily,"WALTER S. BROOKS ELDERLY HOMES at ORMONT COURT,INC",iris.santiago@tcbinc.org,No
130 HOWE STREET APTS,130 Howe St,New Haven,06511,12,Section8_Multifamily,130 Howe Street Inc.,rcoote@wmmhotchkiss.com,No
Jefferson Commons Apts,432 Jefferson Avenue,New London,06320,12,Section8_Multifamily,"The Connection Fund - Jefferson, Inc.",ldematteis@theconnectioninc.org,No
BONNIE ACRES,154D Vance Dr,Bristol,06010,12,Public_Housing,Bristol Housing Authority,,No
IRVING FREESE,65 Ward St,Norwalk,06851,12,Public_Housing,Housing Authority Of The City Of Norwalk,,No
HOCKANUM PARK,68 Silver Ln Apt 27,East Hartford,06118,12,Public_Housing,East Hartford Housing Authority,,No
IRVING FREESE,57 Ward St,Norwalk,06851,12,Public_Housing,Housing Authority Of The City Of Norwalk,,No
RIVERSIDE APARTMENTS,70 Woodlawn Ave,Ansonia,06401,12,Public_Housing,Housing Authority of the City of Ansonia,,No
MEADOW GARDENS,11 Fort Point St,Norwalk,06855,12,Public_Housing,Housing Authority Of The City Of Norwalk,,No
MASTER CONTRACT - CREATIVE CHOICE,416 Harral Ave,Bridgeport,06604,12,Public_Housing,Housing Authority of the City of Bridgeport,,No
BONNIE ACRES,153D Vance Dr,Bristol,06010,12,Public_Housing,Bristol Housing Authority,,No
William Kelly Apartments,125 Fairmount St,Waterbury,06706,12,Public_Housing,Waterbury Housing Authority,,No
NELTON COURT,124 Wooster St,Hartford,06120,12,Public_Housing,Housing Authority of the City of Hartford,,No
WESTHILL GARDENS ANNEX,87A Bluefield Dr,Manchester,06040,12,Public_Housing,Manchester Housing Authority,,No
WESTHILL GARDENS ANNEX,42A Bluefield Dr,Manchester,06040,12,Public_Housing,Manchester Housing Authority,,No
MARINA VILLAGE,101 South Ave,Bridgeport,06604,12,Public_Housing,Housing Authority of the City of Bridgeport,,No
NELTON COURT,123 Martin St,Hartford,06120,12,Public_Housing,Housing Authority of the City of Hartford,,No
BONNIE ACRES,136D Vance Dr,Bristol,06010,12,Public_Housing,Bristol Housing Authority,,No
MOUNT PLEASANT,108 Armistice St,New Britain,06053,12,Public_Housing,Housing Authority of the CIty of New Britain,,No
MOUNT PLEASANT,86 Richard St,New Britain,06053,12,Public_Housing,Housing Authority of the CIty of New Britain,,No
MOUNT PLEASANT,103 Richard St,New Britain,06053,12,Public_Housing,Housing Authority of the CIty of New Britain,,No
MOUNT PLEASANT,186 Richard St,New Britain,06053,12,Public_Housing,Housing Authority of the CIty of New Britain,,No
MOUNT PLEASANT,110 Richard St,New Britain,06053,12,Public_Housing,Housing Authority of the CIty of New Britain,,No
MARINA VILLAGE,100 Iranistan Ave,Bridgeport,06604,12,Public_Housing,Housing Authority of the City of Bridgeport,,No
WESTHILL GARDENS ANNEX,27A Bluefield Dr,Manchester,06040,12,Public_Housing,Manchester Housing Authority,,No
HOCKANUM PARK,68 Silver Ln Apt 30,East Hartford,06118,12,Public_Housing,East Hartford Housing Authority,,No
HOCKANUM PARK,68 Silver Ln Apt 1,East Hartford,06118,12,Public_Housing,East Hartford Housing Authority,,No
NELTON COURT,32 Sanford St,Hartford,06120,12,Public_Housing,Housing Authority of the City of Hartford,,No
WESTHILL GARDENS ANNEX,12A Bluefield Dr,Manchester,06040,12,Public_Housing,Manchester Housing Authority,,No
SBONA TOWERS,17 Maplewood Ter,Middletown,06457,12,Public_Housing,Middletown Housing Authority,,No
TRUMBULL GARDENS TOWNHOUSES,70 Yaremich Dr,Bridgeport,06606,12,Public_Housing,Housing Authority of the City of Bridgeport,,No
HOCKANUM PARK,68 Silver Ln Apt 10,East Hartford,06118,12,Public_Housing,East Hartford Housing Authority,,No
WESTHILL GARDENS ANNEX,71A Bluefield Dr,Manchester,06040,12,Public_Housing,Manchester Housing Authority,,No
BONNIE ACRES,171D Vance Dr,Bristol,06010,12,Public_Housing,Bristol Housing Authority,,No
BONNIE ACRES,143D Vance Dr,Bristol,06010,12,Public_Housing,Bristol Housing Authority,,No
The Ellis Block,321 Ellis St,New Britain,06051,11,Section8_Multifamily,ELLIS STREET MILL LLC,astein@winnco.com,No
85 Tremont Section A,85 Tremont St,Meriden,06450,11,Section8_Multifamily,Trinity Tremont Four Limited Partnership,drazend@trinityfincial.com,No
SPRING HEIGHTS,32C Glade St,West Haven,06516,11,Public_Housing,West Haven Housing Authority,,No
FARNUM COURTS,202 Hamilton St,New Haven,06511,11,Public_Housing,Housing Authority of the City of New Haven,,No
EDEN DRIVE,125 Eden Dr,Danbury,06810,11,Public_Housing,Housing Authority of the City of Danbury,,No
HARTFORD SCATTERED SITE I,182 Seymour St,Hartford,06106,11,Public_Housing,Housing Authority of the City of Hartford,,No
MARINA VILLAGE,126 Iranistan Ave,Bridgeport,06604,11,Public_Housing,Housing Authority of the City of Bridgeport,,No
SBONA TOWERS,40 Maplewood Ter,Middletown,06457,11,Public_Housing,Middletown Housing Authority,,No
BOSTON COMMONS,200 Bond St Apt 1,Bridgeport,06610,11,Public_Housing,Housing Authority of the City of Bridgeport,,No
FARNUM COURTS,199 Franklin St,New Haven,06511,11,Public_Housing,Housing Authority of the City of New Haven,,No
EDEN DRIVE,135 Eden Dr,Danbury,06810,11,Public_Housing,Housing Authority of the City of Danbury,,No
Continuum Supportive Housing of West Hartford,100 Beverly Road,West Hartford,06117,10,Section8_Multifamily,"Continuum Supportive Housing of West Hartford, Inc",awestwood@continuumct.org,No
233 ALLEN STREET,233 ALLEN STREET,NEW BRITAIN,06053,10,Section8_Multifamily,233 Allen Street Mutual Housing LLC,cmackinnon@mutualhousing.org,No
364 PUTNAM AVENUE,364 Putnam Ave,Hamden,06517,10,Section8_Multifamily,364 Putnam Limited Partnership,Horowitzharry@gmail.com,No
Pathways Vision,509 East Putnam,GREENWICH,06830,10,Section8_Multifamily,Pathways Vision,ptesei@pways.org,No
GREENFIELD COMMONS,580 Villa Avenue,Fairfield,06825,10,Section8_Multifamily,"Greenfield Commons, Inc.",cmartin14@snet.net,No
Margaret B. Mack Supportive Housing,34-40 Batter Terrace,New Haven,06510,10,Section8_Multifamily,Margaret B. Mack Supportive Housing Corporation,awestwood@continuumct.org,No
SHELDON TERRACE SUPPORTIVE HSG,24 Sheldon Terrace,New Haven,06511,10,Section8_Multifamily,Sheldon Terrace Supportive Housing Corporation,awestwood@continuumct.org,No
Leeway Welton Apartments,34 Welton St,New Haven,06511,10,Section8_Multifamily,Leeway-Welton Housing Corp.,jkatz@leeway.net,No
Bonney Brook,33 Kent Road South,Cornwall Bridge,06754,10,Section8_Multifamily,Cornwall Elderly Housing Corporation,will@greenviewco.com,No
Beckley House Expansion at Geer,85 South Canaan Road,Canaan,06018,10,Section8_Multifamily,"Geer Village, A Housing & Development Company",lleifert@conquestsolutions.com,No
Crosby Manor,84 W Wooster St,Danbury,06810,10,Public_Housing,Housing Authority of the City of Danbury,,No
MEADOW GARDENS,25 Chapel St,Norwalk,06850,10,Public_Housing,Housing Authority Of The City Of Norwalk,,No
MOUNT PLEASANT,627 Myrtle St,New Britain,06053,10,Public_Housing,Housing Authority of the CIty of New Britain,,No
MOUNT PLEASANT,689 Myrtle St,New Britain,06053,10,Public_Housing,Housing Authority of the CIty of New Britain,,No
SPRING HEIGHTS,26A Glade St,West Haven,06516,10,Public_Housing,West Haven Housing Authority,,No
TRUMAN APTS,163 Hamden Ave,Waterbury,06704,10,Public_Housing,Waterbury Housing Authority,,No
HEARTHSTONE APARTMENTS,24 Gregory Cir,Stratford,06615,10,Public_Housing,Housing Authority of the Town of Stratford,,No
SBONA TOWERS,8 Traverse Sq,Middletown,06457,10,Public_Housing,Middletown Housing Authority,,No
HEARTHSTONE APARTMENTS,100 Gregory Cir,Stratford,06615,10,Public_Housing,Housing Authority of the Town of Stratford,,No
HEARTHSTONE APARTMENTS,386 Woodend Rd,Stratford,06615,10,Public_Housing,Housing Authority of the Town of Stratford,,No
HEARTHSTONE APARTMENTS,102 Birch Dr,Stratford,06615,10,Public_Housing,Housing Authority of the Town of Stratford,,No
MOUNT PLEASANT,667 Myrtle St,New Britain,06053,10,Public_Housing,Housing Authority of the CIty of New Britain,,No
HEARTHSTONE APARTMENTS,12 Birch Dr,Stratford,06615,10,Public_Housing,Housing Authority of the Town of Stratford,,No
MOUNT PLEASANT,66 Richard St,New Britain,06053,10,Public_Housing,Housing Authority of the CIty of New Britain,,No
MOUNT PLEASANT,587 Myrtle St,New Britain,06053,10,Public_Housing,Housing Authority of the CIty of New Britain,,No
HARTFORD SCATTERED SITE I,231 Park St,Hartford,06106,10,Public_Housing,Housing Authority of the City of Hartford,,No
SBONA TOWERS,35 Traverse Sq,Middletown,06457,10,Public_Housing,Middletown Housing Authority,,No
BOSTON COMMONS,1441 Park Ave,Bridgeport,06604,10,Public_Housing,Housing Authority of the City of Bridgeport,,No
HEARTHSTONE APARTMENTS,112 Gregory Cir,Stratford,06615,10,Public_Housing,Housing Authority of the Town of Stratford,,No
HEARTHSTONE APARTMENTS,101 Birch Dr,Stratford,06615,10,Public_Housing,Housing Authority of the Town of Stratford,,No
HEARTHSTONE APARTMENTS,113 Gregory Cir,Stratford,06615,10,Public_Housing,Housing Authority of the Town of Stratford,,No
HEARTHSTONE APARTMENTS,23 Gregory Cir,Stratford,06615,10,Public_Housing,Housing Authority of the Town of Stratford,,No
MOUNT PLEASANT,607 Myrtle St,New Britain,06053,10,Public_Housing,Housing Authority of the CIty of New Britain,,No
TRUMBULL GARDENS TOWNHOUSES,414A Trumbull Ave,Bridgeport,06606,10,Public_Housing,Housing Authority of the City of Bridgeport,,No
MOUNT PLEASANT,88 Armistice St,New Britain,06053,10,Public_Housing,Housing Authority of the CIty of New Britain,,No
HEARTHSTONE APARTMENTS,442 Woodend Rd,Stratford,06615,10,Public_Housing,Housing Authority of the Town of Stratford,,No
BOSTON COMMONS,235 Pequonnock St,Bridgeport,06604,10,Public_Housing,Housing Authority of the City of Bridgeport,,No
